name,dlt
RRC_CONNECTION_RE_ESTABLISHMENT_COMPLETE,lte-rrc.ul.dcch
RRC_CONNECTION_RE_ESTABLISHMENT,lte-rrc.dl.ccch
RRC_CSFB_PARAMETERS_REQUEST_CDMA2000,lte-rrc.ul.dcch
RRC_CSFB_PARAMETERS_RESPONSE_CDMA2000,lte-rrc.dl.dcch
RRC_DL_INFORMATION_TRANSFER_NB,lte-rrc.dl.dcch
RRC_DL_INFORMATION_TRANSFER,lte-rrc.dl.dcch
RRC_HANDOVER_FROM_EUTRA_PREPARATION_REQUEST,lte-rrc.dl.dcch
RRC_IN_DEVICE_COEX_INDICATION,lte-rrc.ul.dcch
RRC_INTER_FREQ_RSTD_MEASUREMENT_INDICATION,lte-rrc.ul.dcch
RRC_MASTER_INFORMATION_BLOCK_NB,lte-rrc.bcch.bch
RRC_MASTER_INFORMATION_BLOCK,lte-rrc.bcch.bch
RRC_MBMS_INTEREST_INDICATION,lte-rrc.ul.dcch
RRC_MBSFNAREA_CONFIGURATION,lte-rrc.mcch
RRC_MEASUREMENT_REPORT,lte-rrc.ul.dcch
RRC_MOBILITY_FROM_E_UTRA_COMMAND_EXT,lte-rrc.dl.dcch
RRC_MOBILITY_FROM_E_UTRA_COMMAND,lte-rrc.dl.dcch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_COMPLETE_NB,lte-rrc.ul.dcch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_NB,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REJECT_NB,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REJECT,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REQUEST_NB,lte-rrc.ul.ccch
RRC_RRC_CONNECTION_RE_ESTABLISHMENT_REQUEST,lte-rrc.ul.ccch
RRC_RRC_CONNECTION_RECONFIGURATION_COMPLETE_NB,lte-rrc.ul.dcch
RRC_RRC_CONNECTION_RECONFIGURATION_COMPLETE,lte-rrc.ul.dcch
RRC_RRC_CONNECTION_RECONFIGURATION_NB,lte-rrc.dl.dcch
RRC_RRC_CONNECTION_RECONFIGURATION,lte-rrc.dl.dcch
RRC_RRC_CONNECTION_REJECT_NB,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_REJECT,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_RELEASE_NB,lte-rrc.dl.dcch
RRC_RRC_CONNECTION_RELEASE,lte-rrc.dl.dcch
RRC_RRC_CONNECTION_REQUEST_NB,lte-rrc.ul.ccch
RRC_RRC_CONNECTION_REQUEST,lte-rrc.ul.ccch
RRC_RRC_CONNECTION_SETUP_COMPLETE_NB,lte-rrc.ul.dcch
RRC_RRC_CONNECTION_SETUP_COMPLETE,lte-rrc.ul.dcch
RRC_RRC_CONNECTION_SETUP_NB,lte-rrc.dl.ccch
RRC_RRC_CONNECTION_SETUP,lte-rrc.dl.ccch
RRC_SCG_FAILURE_INFORMATION_NR,lte-rrc.ul.dcch
RRC_SECURITY_MODE_COMMAND,lte-rrc.dl.dcch
RRC_SECURITY_MODE_COMPLETE,lte-rrc.ul.dcch
RRC_SECURITY_MODE_FAILURE,lte-rrc.ul.dcch
RRC_SYSTEM_INFORMATION_BLOCK_TYPE_1_NB,"lte-rrc.bcch.bch/
lte-rrc.bcch.dl.sch"
RRC_SYSTEM_INFORMATION_BLOCK_TYPE_1,"lte-rrc.bcch.bch/
lte-rrc.bcch.dl.sch"
RRC_SYSTEM_INFORMATION_NB,"lte-rrc.bcch.bch/
lte-rrc.bcch.dl.sch"
RRC_SYSTEM_INFORMATION,"lte-rrc.bcch.bch/
lte-rrc.bcch.dl.sch"
RRC_UE_CAPABILITY_ENQUIRY_NB,lte-rrc.dl.dcch
RRC_UE_CAPABILITY_ENQUIRY,lte-rrc.dl.dcch
RRC_UE_CAPABILITY_INFORMATION_NB,lte-rrc.ul.dcch
RRC_UE_CAPABILITY_INFORMATION,lte-rrc.ul.dcch
RRC_UE_INFORMATION_REQUEST,lte-rrc.dl.dcch
RRC_UE_INFORMATION_RESPONSE,lte-rrc.ul.dcch
RRC_UL_HANDOVER_PREPARATION_TRANSFER,lte-rrc.ul.dcch
RRC_UL_INFORMATION_TRANSFER_NB,lte-rrc.ul.dcch
RRC_UL_INFORMATION_TRANSFER,lte-rrc.ul.dcch
